SUB_HAP,SUB_SAT,SUB_SLP,DIC_PAR,DIC_FRI,DIC_OTH,ULT_PRO_PAR,ULT_PRO_FRI,ULT_PRO_OTH,ULT_REC_PAR,ULT_REC_FRI,ULT_REC_OTH,TRU_PAR,TRU_FRI,TRU_OTH,SPN_UNM,SPN_THK,SPN_FEA,SPN_LIV,SPN_IMP,KAN_SEC,KAN_THI,KAN_SUP,KAN_PRD,KAN_KYK,DED_SHI,DED_TEN,DED_JIG,DED_KIS,DED_PUN,SEX_IMP,SEX_MAS,SEX_SEX,SEX_OBJ,SEX_NIN,SEX_NNA,SEX_IMP_num,SEX_MAS_nen,SEX_SEX_nen,SEX_NIN_cen,F_SEX,F_GEN_2,F_GEN,F_FGR,F_INK,F_INS,F_INK_cen,F_INS_cen,F_TAN,ARE,PRE,MAR,CHI,ID
7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,3,1,3,3,3,3,2,2,3,3,5,5,3,Isei,N1nin,0,5,26,4,1,female,20_af,20dai,Dai_Chu,y1-200,y200-400,1,3,SMA(android),Kanto,14,Married,Child,818
8,7,10,0,0,0,0,5,5,5,3,1,10,5,2,1,2,3,1,4,3,1,1,3,3,1,2,2,4,3,,,0,Isei,N0nin,2,,,0,0,female,20_bf,20dai,Sen_Sotsu,y1-200,Unknown,1,,SMA(iOS_iPhone),Kinki,27,NotMarried,NoChild,819
6,6,10,0,0,0,5,5,5,1,1,1,10,0,0,1,2,3,2,3,3,1,2,2,3,1,1,1,3,2,,,0,Isei,N0nin,2,,,0,0,female,20_af,20dai,Dai_Sotsu,y1-200,Unknown,1,,SMA(iOS_iPhone),Kyushu,40,NotMarried,NoChild,820
8,8,10,5,3,0,5,5,0,5,5,8,5,5,3,3,2,2,2,3,2,1,2,3,3,3,3,3,3,3,4,,5,Isei,N1nin,1,4,,26,1,male,30_bf,30dai,Kou_Sotsu,y600-800,y600-800,7,7,SMA(android),Chubu,24,Married,Child,821
6,6,7,4,2,0,5,2,0,5,2,0,8,1,1,2,2,3,3,3,3,2,2,2,3,3,2,2,2,2,4,,3,Isei,,2,4,,4,,female,40_bf,40dai,Kou_Sotsu,y0,y600-800,0,7,SMA(android),Kanto,11,Married,Child,822
3,3,2,10,10,0,10,10,0,1,1,0,10,10,0,2,2,4,2,4,2,2,2,1,3,1,1,1,3,2,5,,7,Isei,N11-15nin,1,5,,130,13,male,40_bf,40dai,Kou_Sotsu,y200-400,y200-400,3,3,PC(Windows),Chugoku,33,NotMarried,NoChild,823
6,7,7,9,5,3,10,8,4,8,6,0,8,8,6,4,3,4,4,4,3,2,3,3,4,1,4,1,4,3,4,4,2,Isei,N4-5nin,0,4,12,2,4.5,female,40_af,40dai,Sen_Sotsu,y400-600,y400-600,5,5,SMA(iOS_iPhone),Kanto,14,NotMarried,Child,824
4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,6,4,Isei,N1nin,0,5,52,12,1,male,20_bf,20dai,Dai_Sotsu,y400-600,y400-600,5,5,SMA(android),Kanto,13,NotMarried,NoChild,825
6,6,0,0,0,0,5,5,5,5,5,5,10,10,10,2,1,1,1,1,4,4,2,2,2,3,1,1,1,1,,,,,,5,,,,,female,30_af,30dai,Dai_Sotsu,Unknown,Unknown,,,PC(Windows),Kinki,27,Married,NoChild,826
8,8,6,10,10,0,5,5,5,0,0,0,10,10,5,3,3,3,4,4,3,2,2,2,3,3,3,2,3,2,3,0,6,Isei,N2-3nin,0,3,0,52,2.5,female,30_bf,30dai,Sen_Sotsu,y1-200,y200-400,1,3,SMA(iOS_iPhone),Chugoku,33,Married,NoChild,827
5,7,4,5,3,0,5,7,5,5,5,5,10,8,5,2,3,2,3,3,2,3,2,2,3,3,2,2,3,1,4,,,,,4,4,,,,male,40_bf,40dai,Dai_Sotsu,y200-400,y200-400,3,3,PC(Windows),Chugoku,33,NotMarried,NoChild,828
3,3,5,0,0,0,0,5,5,0,0,5,3,2,0,2,3,2,2,4,1,1,1,1,3,3,3,3,3,3,7,9,4,Isei,N8-10nin,0,7,730,12,9,male,20_bf,20dai,Sen_Sotsu,y1-200,y1-200,1,1,SMA(android),Kanto,11,NotMarried,NoChild,829
4,5,4,3,4,0,3,5,5,3,3,2,10,10,2,2,2,2,2,3,2,2,1,2,3,1,1,1,2,2,3,7,1,Isei,N2-3nin,0,3,130,1,2.5,male,40_bf,40dai,Dai_Sotsu,y400-600,y400-600,5,5,SMA(android),Kyushu,47,NotMarried,NoChild,830
10,10,10,2,10,4,4,7,2,7,8,9,6,5,6,4,3,4,4,2,3,3,2,3,2,3,4,4,4,4,3,4,2,Hoka,N4-5nin,0,3,12,2,4.5,male,40_bf,40dai,Dai_Chu,y1-200,y400-600,1,5,PC(Windows),Tohoku,7,Married,Child,831
5,8,0,0,0,0,10,5,0,0,5,10,10,5,1,2,3,4,3,4,1,1,1,1,2,4,4,4,4,4,1,,0,Isei,N0nin,1,1,,0,0,female,40_bf,40dai,Kou_Sotsu,y1-200,y200-400,1,3,SMA(android),Tohoku,3,NotMarried,NoChild,832
4,3,1,8,5,0,8,8,5,3,3,5,5,1,0,3,2,3,2,4,4,4,2,3,1,2,2,2,2,3,,,0,,N0nin,3,,,0,0,male,20_bf,20dai,Kou_Sotsu,Unknown,Unknown,,,PC(Windows),Hokkaido,1,NotMarried,NoChild,833
3,3,6,0,5,3,1,5,3,8,5,3,2,5,3,3,3,3,3,3,2,3,4,2,3,3,2,2,4,4,5,,6,Isei,N1nin,1,5,,52,1,female,30_af,30dai,Dai_Sotsu,Unknown,y600-800,,7,PC(Windows),Kanto,12,Married,NoChild,834
5,5,5,5,3,1,5,2,1,1,0,0,4,2,1,1,4,4,4,4,4,4,4,4,2,2,2,2,4,2,,,,,,5,,,,,female,40_bf,40dai,Dai_Sotsu,y400-600,y800-1000,5,9,PC(Mac),Kyushu,40,Married,NoChild,835
8,7,7,10,5,3,10,5,3,5,3,3,10,10,10,2,3,3,3,4,2,2,2,2,3,2,2,2,3,2,,,,,,5,,,,,male,60_bf,60dai,Dai_Sotsu,Unknown,Unknown,,,PC(Windows),Chubu,23,Married,Child,836
2,1,10,4,2,0,5,5,5,3,3,3,8,5,3,3,4,4,4,4,2,2,3,3,4,2,3,2,3,3,2,,5,Isei,,2,2,,26,,female,40_bf,40dai,Dai_Sotsu,y400-600,y1000-1200,5,11,PC(Windows),Kanto,11,Married,NoChild,837
7,7,8,10,10,10,5,5,5,5,5,5,10,10,5,3,3,3,3,4,2,1,3,3,3,4,4,4,3,3,4,7,5,Isei,N5-7nin,0,4,130,26,6,male,30_bf,30dai,Dai_Sotsu,y600-800,y600-800,7,7,PC(Windows),Chubu,21,Married,Child,838
10,10,10,3,8,7,1,4,4,5,6,1,2,5,1,1,1,1,1,3,1,1,1,1,3,4,4,4,4,4,1,1,0,,,2,1,1,0,,female,30_bf,30dai,Dai_Sotsu,y1-200,y1-200,1,1,SMA(iOS_iPhone),Tohoku,3,Married,Child,839
7,6,10,8,3,1,6,4,0,8,6,2,4,2,1,2,3,3,4,4,1,1,3,1,3,2,2,2,3,3,5,7,5,Ryoho,N101nin-,0,5,130,26,101,male,40_af,40dai,Dai_Sotsu,y400-600,y400-600,5,5,SMA(iOS_iPhone),Chubu,23,NotMarried,NoChild,840
7,7,7,5,5,5,5,5,5,5,5,0,10,5,5,3,3,3,3,4,1,1,2,2,3,2,3,3,4,3,1,0,,,,3,1,0,,,female,40_af,40dai,Sen_Sotsu,y200-400,y600-800,3,7,SMA(iOS_iPhone),Kinki,28,Married,Child,841
6,4,7,10,5,3,5,5,5,3,3,2,10,7,5,2,3,3,3,3,1,1,2,1,3,2,2,2,3,2,6,8,4,Isei,N4-5nin,0,6,365,12,4.5,male,20_bf,20dai,Dai_Sotsu,y200-400,y1000-1200,3,11,PC(Windows),Kinki,26,NotMarried,NoChild,842
6,2,10,5,4,3,5,5,5,1,3,5,5,5,5,1,2,1,1,4,1,3,1,1,3,1,1,1,1,1,,,,,,5,,,,,male,20_af,20dai,Doc_Shu,Unknown,Unknown,,,PC(Windows),Kanto,13,Married,Child,843
4,3,5,8,5,0,5,5,5,3,3,3,10,5,3,2,4,3,4,4,3,3,1,3,3,2,2,2,4,3,5,7,5,Isei,N2-3nin,0,5,130,26,2.5,male,30_bf,30dai,Sen_Sotsu,y400-600,y400-600,5,5,SMA(android),Kanto,13,Married,Child,844
6,6,7,10,5,0,5,5,5,5,5,5,5,3,1,3,4,4,3,3,3,4,2,2,3,2,3,2,3,3,4,7,2,Isei,N21-30nin,0,4,130,2,25.5,male,30_bf,30dai,Kou_Chu,y200-400,Unknown,3,,SMA(android),Kinki,30,NotMarried,NoChild,845
3,4,3,2,0,0,2,5,4,2,5,4,5,3,0,3,3,3,3,3,3,2,2,2,3,1,1,1,1,1,,,,,,5,,,,,female,50_bf,50dai,Kou_Sotsu,y1-200,y200-400,1,3,PC(Windows),Chubu,15,NotMarried,Child,846
7,7,10,5,3,0,5,5,5,5,5,5,5,3,0,2,3,4,4,4,1,2,1,2,3,1,1,1,3,1,,,,Isei,,4,,,,,female,40_bf,40dai,Sen_Sotsu,y0,y600-800,0,7,Tab(Other),Kinki,28,Married,Child,847
3,3,4,9,5,3,8,8,3,8,4,2,10,9,5,2,3,3,4,4,3,2,3,2,3,3,3,3,4,2,1,7,,,,3,1,130,,,female,20_bf,20dai,Kou_Sotsu,y0,y1-200,0,1,PC(Other),Kyushu,41,NotMarried,NoChild,848
3,3,4,3,3,1,5,5,5,5,5,5,3,3,3,3,3,3,3,4,3,3,4,3,3,4,4,2,3,3,2,0,,Isei,,2,2,0,,,female,40_bf,40dai,Sen_Chu,y200-400,y200-400,3,3,PC(Windows),Hokkaido,1,NotMarried,Child,849
3,2,3,5,1,0,5,1,0,5,2,0,5,2,0,3,2,2,3,3,2,3,3,2,2,2,2,2,3,2,3,2,5,Isei,N11-15nin,0,3,2,26,13,male,40_af,40dai,Sen_Chu,y400-600,y400-600,5,5,SMA(android),Kyushu,40,Married,Child,850
6,4,5,10,5,0,10,5,3,3,5,10,10,8,5,3,3,4,4,4,3,2,3,3,3,4,3,3,4,4,2,2,2,Isei,N31-50nin,0,2,2,2,35.5,female,20_af,20dai,Sen_Sotsu,y400-600,y400-600,5,5,SMA(android),Chubu,23,NotMarried,NoChild,851
8,8,10,10,5,5,10,5,5,5,5,5,5,5,5,1,1,1,1,3,1,1,1,3,3,2,1,1,3,1,1,0,5,Isei,N2-3nin,0,1,0,26,2.5,female,20_af,20dai,Kou_Chu,y200-400,y600-800,3,7,SMA(android),Chubu,22,NotMarried,NoChild,852
5,5,3,10,10,5,10,10,10,0,0,10,10,10,3,2,3,2,3,4,2,3,1,1,3,1,1,1,3,3,3,,,Isei,,3,3,,,,male,40_bf,40dai,Mas_Shu,y1000-1200,y1000-1200,11,11,PC(Windows),Kanto,9,Married,Child,853
3,4,10,7,3,0,7,5,2,5,5,3,8,5,5,2,2,3,3,3,3,1,3,2,3,2,2,2,3,3,5,,,Isei,N41-100nin,2,5,,,70.5,female,30_bf,30dai,Kou_Sotsu,y1-200,y600-800,1,7,SMA(iOS_iPhone),Tohoku,2,NotMarried,NoChild,854
5,4,10,5,7,0,3,3,1,5,3,0,10,5,0,2,3,4,3,3,3,4,2,2,3,4,3,2,3,1,3,3,,,,3,3,4,,,male,40_af,40dai,Kou_Sotsu,y1-200,y1-200,1,1,SMA(iOS_iPhone),Kanto,13,NotMarried,NoChild,855
1,1,4,0,0,0,5,5,0,0,0,5,5,5,0,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,,,,,,5,,,,,female,40_bf,40dai,Sen_Sotsu,y200-400,y400-600,3,5,SMA(android),Kanto,13,NotMarried,NoChild,856
4,5,4,10,5,0,5,3,1,3,2,1,10,5,3,2,3,4,3,3,2,1,2,1,3,2,2,2,3,3,4,,,Isei,N5-7nin,2,4,,,6,female,30_af,30dai,Kou_Sotsu,y1-200,y400-600,1,5,SMA(android),Kyushu,43,Married,Child,857
7,6,8,7,3,0,6,5,4,3,2,2,8,5,3,2,3,3,3,3,2,2,2,2,3,2,2,2,3,3,3,,6,Isei,N1nin,1,3,,52,1,female,40_bf,40dai,Sen_Sotsu,y1-200,y600-800,1,7,Tab(android),Kanto,11,Married,Child,858
5,3,3,5,0,0,5,5,5,5,5,5,5,3,3,2,3,4,3,4,3,2,2,2,3,3,2,2,3,3,1,,1,Isei,N4-5nin,1,1,,1,4.5,female,30_af,30dai,Sen_Sotsu,y0,y400-600,0,5,SMA(iOS_iPhone),Kinki,26,Married,Child,859
1,5,4,8,3,0,10,5,0,10,4,1,10,2,0,1,3,4,4,4,2,2,1,2,3,4,4,4,4,4,4,4,6,Isei,N1nin,0,4,12,52,1,female,20_bf,20dai,Sen_Sotsu,Unknown,Unknown,,,SMA(iOS_iPhone),Kanto,13,NotMarried,NoChild,860
7,8,8,10,2,0,10,4,3,0,2,2,10,8,8,2,4,4,4,4,1,1,1,1,4,2,2,2,3,3,6,5,4,Isei,N4-5nin,0,6,26,12,4.5,female,30_af,30dai,Dai_Sotsu,y1-200,y400-600,1,5,SMA(iOS_iPhone),Kanto,14,Married,Child,861
7,5,4,10,10,0,10,10,0,5,3,0,10,10,0,2,4,4,3,4,2,1,2,1,4,2,2,2,4,4,4,5,3,Isei,N8-10nin,0,4,26,4,9,male,30_af,30dai,Sen_Sotsu,y200-400,y200-400,3,3,SMA(iOS_iPhone),Kinki,27,NotMarried,NoChild,862
7,4,9,1,3,0,3,5,5,1,5,5,10,10,5,3,3,4,4,4,2,1,3,3,4,4,4,4,4,4,6,6,6,Isei,N16-20nin,0,6,52,52,18,male,40_af,40dai,Sen_Sotsu,y600-800,y600-800,7,7,PC(Windows),Kinki,27,Married,Child,863
3,3,4,5,5,2,5,5,5,5,5,5,10,10,10,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,,,Isei,N1nin,2,3,,,1,female,40_bf,40dai,Kou_Sotsu,y1-200,y200-400,1,3,SMA(android),Kanto,11,Married,Child,864
7,7,8,5,3,1,5,3,1,5,3,1,3,2,1,3,3,3,3,4,3,2,2,3,3,3,3,3,3,3,3,4,2,Isei,N8-10nin,0,3,12,2,9,male,40_bf,40dai,Dai_Sotsu,y600-800,y1000-1200,7,11,SMA(android),Kanto,11,Married,Child,865
7,7,8,3,1,1,3,1,1,3,1,1,3,1,0,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,4,3,3,Isei,,1,4,4,4,,male,30_bf,30dai,Dai_Sotsu,y200-400,y200-400,3,3,PC(Windows),Kinki,28,NotMarried,NoChild,866
3,3,6,5,3,0,5,3,0,5,3,0,5,3,0,2,2,2,2,3,4,4,3,1,1,3,3,3,3,4,3,4,0,Isei,N2-3nin,0,3,12,0,2.5,female,40_bf,40dai,Kou_Sotsu,y1-200,y1-200,1,1,SMA(android),Tohoku,7,NotMarried,NoChild,867
5,4,8,0,3,0,5,5,5,5,3,5,10,5,3,3,3,3,3,3,3,1,3,2,3,3,3,2,3,3,,,,Isei,,4,,,,,female,20_af,20dai,Sen_Sotsu,y1-200,y1-200,1,1,SMA(iOS_iPhone),Kanto,13,NotMarried,NoChild,868
10,5,7,10,5,0,9,6,2,8,2,0,10,5,0,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,4,8,8,Ryoho,N5-7nin,0,4,365,365,6,female,20_bf,20dai,Dai_Sotsu,y0,y0,0,0,PC(Windows),Kinki,28,NotMarried,NoChild,869
10,8,6,4,2,0,5,5,5,0,5,3,10,10,3,3,4,4,4,4,3,1,3,2,4,3,3,3,3,3,5,,,Isei,N5-7nin,2,5,,,6,female,30_af,30dai,Dai_Sotsu,y0,y600-800,0,7,SMA(iOS_iPhone),Kanto,14,Married,Child,870
7,6,8,7,5,5,5,5,5,5,5,5,8,7,7,2,3,3,3,4,3,1,1,2,3,3,3,2,4,2,2,0,3,Isei,N5-7nin,0,2,0,4,6,female,20_bf,20dai,Dai_Sotsu,y200-400,y600-800,3,7,SMA(iOS_iPhone),Kanto,13,NotMarried,NoChild,871
8,7,5,4,5,0,4,5,5,5,5,5,4,5,5,1,2,3,2,3,3,2,2,2,2,3,3,3,3,3,3,2,4,Isei,N21-30nin,0,3,2,12,25.5,female,20_af,20dai,Kou_Sotsu,y0,y800-1000,0,9,SMA(android),Chugoku,34,Married,Child,872
7,7,8,0,0,0,1,5,5,1,3,5,10,10,5,3,3,2,3,3,2,2,2,2,3,3,3,3,3,3,5,8,,Isei,N4-5nin,1,5,365,,4.5,male,40_bf,40dai,Dai_Sotsu,y1000-1200,y1200-1500,11,13.5,SMA(android),Chubu,23,Married,Child,873
1,1,4,10,3,0,10,5,0,5,5,0,5,5,0,2,3,3,3,3,2,2,2,2,3,3,3,3,3,3,5,6,5,Isei,N2-3nin,0,5,52,26,2.5,male,20_bf,20dai,Sen_Sotsu,y1-200,y200-400,1,3,SMA(iOS_iPhone),Tohoku,4,NotMarried,NoChild,874
5,5,4,5,3,0,5,5,5,5,5,5,5,5,5,3,3,2,2,4,3,2,3,2,4,3,2,2,3,3,4,,0,Ryoho,N0nin,1,4,,0,0,female,10_af,10dai,Chu_Sotsu,y0,y1-200,0,1,SMA(iOS_iPhone),Kanto,13,NotMarried,NoChild,875
2,4,8,0,0,0,5,5,5,1,1,1,10,10,0,3,2,3,3,4,2,2,3,1,3,4,4,4,3,4,2,9,1,Isei,N8-10nin,0,2,730,1,9,male,30_bf,30dai,Kou_Sotsu,y400-600,y400-600,5,5,SMA(android),Kanto,11,Married,NoChild,876
9,7,8,10,5,0,5,5,5,1,1,0,10,5,2,2,3,4,4,4,3,2,1,2,3,3,2,2,3,3,3,,4,Isei,N2-3nin,1,3,,12,2.5,female,30_af,30dai,Dai_Sotsu,y200-400,y400-600,3,5,PC(Windows),Kanto,13,Married,NoChild,877
7,3,4,10,5,5,10,5,5,0,3,3,3,3,3,2,3,4,3,4,2,2,3,3,3,4,2,2,4,4,3,5,2,Isei,N11-15nin,0,3,26,2,13,male,20_af,20dai,Kou_Sotsu,y200-400,y1000-1200,3,11,SMA(android),Kanto,13,NotMarried,NoChild,878
1,1,5,5,0,0,5,3,3,0,0,0,10,0,0,2,2,3,2,3,2,1,2,2,3,2,2,2,2,1,4,8,,Isei,,2,4,365,,,male,30_bf,30dai,Dai_Sotsu,y1-200,y200-400,1,3,PC(Windows),Kyushu,45,NotMarried,NoChild,879
7,6,4,10,5,0,10,5,3,10,5,1,10,2,2,4,4,4,4,4,1,1,1,1,3,4,3,3,4,3,1,0,,Isei,N1nin,1,1,0,,1,female,40_bf,40dai,Sen_Sotsu,y1-200,y600-800,1,7,SMA(iOS_iPhone),Kanto,11,Married,Child,880
6,3,5,7,7,2,7,7,0,5,5,0,2,2,1,2,2,2,3,3,2,2,3,2,3,2,2,2,2,2,5,8,3,Isei,N16-20nin,0,5,365,4,18,male,30_af,30dai,Kou_Sotsu,y200-400,y200-400,3,3,PC(Windows),Kanto,13,NotMarried,NoChild,881
4,4,8,9,8,3,5,4,3,9,6,2,7,3,2,2,3,2,2,3,3,2,2,2,4,3,3,3,3,3,4,,,Isei,,3,4,,,,female,30_af,30dai,Dai_Sotsu,y1-200,y1-200,1,1,PC(Windows),Chubu,23,NotMarried,Child,882
7,7,5,10,5,2,10,5,2,5,5,5,5,5,2,4,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,,,Ryoho,N5-7nin,2,3,,,6,female,50_bf,50dai,Kou_Sotsu,y1-200,y200-400,1,3,PC(Windows),Kyushu,47,Married,Child,883
7,4,8,10,5,0,5,5,5,0,5,5,10,5,0,3,3,4,4,4,2,1,2,3,3,3,3,3,3,3,1,0,4,Isei,N1nin,0,1,0,12,1,female,30_bf,30dai,Kou_Sotsu,y1-200,y400-600,1,5,PC(Windows),Kinki,27,Married,Child,884
3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,1,1,1,1,3,1,1,1,1,1,7,8,4,Isei,N5-7nin,0,7,365,12,6,female,20_bf,20dai,Dai_Sotsu,y200-400,Unknown,3,,SMA(Windows),Kyushu,47,NotMarried,NoChild,885
9,5,7,0,0,0,5,10,10,5,1,1,10,10,10,3,3,3,3,3,1,1,2,2,3,3,2,3,3,3,1,1,4,Isei,N5-7nin,0,1,1,12,6,female,30_af,30dai,Dai_Sotsu,y200-400,y400-600,3,5,SMA(android),Tohoku,6,Married,Child,886
7,7,7,10,0,0,10,0,0,1,10,10,10,0,0,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,,,,,,5,,,,,female,40_af,40dai,Sen_Sotsu,y200-400,y200-400,3,3,SMA(android),Chugoku,35,NotMarried,NoChild,887
5,0,5,3,0,0,5,3,0,5,3,0,10,4,0,2,3,3,3,4,3,1,3,2,3,3,3,2,3,3,5,4,1,Isei,N11-15nin,0,5,12,1,13,female,30_af,30dai,Kou_Sotsu,y400-600,y400-600,5,5,SMA(android),Kyushu,40,Married,Child,888
7,6,10,10,10,10,10,10,10,10,0,0,10,10,10,3,3,3,3,3,3,3,1,1,3,1,1,1,1,1,6,8,2,Isei,N8-10nin,0,6,365,2,9,male,30_bf,30dai,Sen_Sotsu,y400-600,y400-600,5,5,Tab(iOS_iPad),Kinki,28,NotMarried,NoChild,889
8,8,8,5,2,0,5,4,4,3,2,1,10,5,5,2,3,4,3,4,1,1,1,1,3,1,1,1,4,3,4,5,,Isei,N5-7nin,1,4,26,,6,female,50_bf,50dai,Dai_Sotsu,y400-600,y1000-1200,5,11,Tab(android),Kanto,11,Married,Child,890
6,6,5,8,5,3,8,5,3,8,5,3,7,6,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,6,,,Isei,N5-7nin,2,6,,,6,male,20_af,20dai,Dai_Sotsu,y400-600,y600-800,5,7,PC(Mac),Kinki,27,NotMarried,NoChild,891
1,0,2,5,5,0,5,5,5,5,3,2,5,5,2,3,3,4,4,4,2,2,2,3,4,2,2,2,3,3,5,4,0,Isei,N0nin,0,5,12,0,0,female,20_bf,20dai,Sen_Sotsu,y1-200,y200-400,1,3,SMA(iOS_iPhone),Kyushu,41,NotMarried,NoChild,892
8,8,8,0,0,0,5,5,5,3,3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,3,3,2,3,2,4,8,1,Isei,N2-3nin,0,4,365,1,2.5,male,50_bf,50dai,Mas_Shu,y800-1000,y1200-1500,9,13.5,SMA(iOS_iPhone),Kinki,28,Married,Child,893
8,8,5,5,2,0,5,5,2,5,2,1,5,5,0,2,3,4,4,4,1,3,1,3,3,3,3,3,3,3,,,,,,5,,,,,female,40_af,40dai,Kou_Sotsu,y0,Unknown,0,,PC(Windows),Kanto,11,Married,Child,894
5,3,7,10,0,0,5,5,5,5,5,5,10,10,0,2,2,3,2,4,3,1,1,2,3,3,4,4,3,4,,,,,,5,,,,,female,30_af,30dai,Sen_Sotsu,y0,y400-600,0,5,SMA(android),Kanto,12,Married,Child,895
2,2,5,0,10,0,0,10,0,0,5,0,0,10,0,3,3,3,4,3,3,3,2,3,3,2,2,2,3,4,6,0,3,Isei,,1,6,0,4,,female,40_bf,40dai,Kou_Chu,y1-200,y1-200,1,1,SMA(android),Kanto,12,NotMarried,NoChild,896
8,7,10,5,5,2,5,5,2,5,5,3,5,3,2,3,3,4,4,4,3,1,3,3,3,3,3,3,3,4,2,4,4,Isei,N1nin,0,2,12,12,1,female,20_bf,20dai,Dai_Chu,y1-200,y200-400,1,3,SMA(android),Kanto,11,Married,Child,897
5,5,5,10,10,0,10,10,0,10,10,0,10,10,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,6,6,Isei,N1nin,0,5,52,52,1,male,30_af,30dai,Kou_Sotsu,y200-400,y800-1000,3,9,PC(Windows),Kinki,28,NotMarried,NoChild,898
0,0,1,3,2,1,5,4,1,5,4,1,4,1,0,1,2,2,2,2,4,3,1,2,3,1,1,2,4,3,2,8,1,Isei,N2-3nin,0,2,365,1,2.5,male,20_af,20dai,Chu_Sotsu,y1-200,y400-600,1,5,SMA(iOS_iPhone),Tohoku,2,NotMarried,NoChild,899
8,9,3,10,0,0,10,5,5,3,3,3,5,3,3,2,2,3,2,3,3,3,2,3,2,2,2,3,2,2,2,1,1,Isei,N4-5nin,0,2,1,1,4.5,male,30_af,30dai,Kou_Sotsu,y1-200,Unknown,1,,PC(Windows),Kanto,12,NotMarried,NoChild,900
6,5,6,5,2,0,5,3,2,3,3,1,10,10,5,3,4,4,4,4,2,2,3,3,3,3,3,3,3,3,7,7,4,Isei,N4-5nin,0,7,130,12,4.5,male,40_af,40dai,Dai_Sotsu,y400-600,y400-600,5,5,PC(Windows),Tohoku,6,Married,Child,901
8,5,5,4,1,0,5,5,5,5,5,5,10,10,5,3,3,3,3,4,3,1,3,2,3,3,3,2,3,3,5,5,7,Ryoho,N8-10nin,0,5,26,130,9,female,20_af,20dai,Dai_Sotsu,y200-400,y200-400,3,3,SMA(iOS_iPhone),Kinki,26,NotMarried,NoChild,902
7,7,6,5,4,3,3,5,5,3,3,4,4,5,3,3,4,3,3,4,2,3,3,2,3,2,2,2,3,3,6,7,3,Isei,N2-3nin,0,6,130,4,2.5,male,40_af,40dai,Doc_Shu,y800-1000,y800-1000,9,9,PC(Windows),Kanto,13,Married,Child,903
8,8,10,5,5,0,5,5,5,5,4,4,10,10,5,3,4,4,4,4,2,2,4,3,4,3,2,2,4,4,4,,,Isei,N4-5nin,2,4,,,4.5,female,40_bf,40dai,Sen_Sotsu,y1-200,y400-600,1,5,SMA(android),Kanto,13,Married,Child,904
5,5,5,5,3,0,5,5,5,5,5,5,3,3,3,3,3,3,2,4,1,2,3,3,3,3,2,3,4,4,5,4,5,Isei,N21-30nin,0,5,12,26,25.5,female,40_af,40dai,Kou_Sotsu,y200-400,y200-400,3,3,SMA(iOS_iPhone),Kinki,28,NotMarried,Child,905
7,6,7,4,2,1,4,5,5,4,5,5,4,5,4,3,3,3,3,4,3,3,3,3,3,3,3,2,3,3,,,,,,5,,,,,female,30_bf,30dai,Dai_Sotsu,Unknown,Unknown,,,PC(Windows),Kinki,27,NotMarried,NoChild,906
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,,,Isei,,3,3,,,,male,40_af,40dai,Dai_Sotsu,y0,y1-200,0,1,PC(Windows),Tohoku,7,Married,NoChild,907
5,3,3,10,5,0,0,5,5,0,0,0,10,3,0,2,3,3,3,3,2,2,2,3,3,2,2,2,3,2,5,7,6,Isei,N5-7nin,0,5,130,52,6,male,30_af,30dai,Dai_Chu,y200-400,y200-400,3,3,SMA(iOS_iPhone),Kyushu,47,Married,Child,908
5,5,3,5,0,0,5,5,5,5,4,3,7,5,0,2,3,4,3,4,2,2,2,2,3,4,3,3,4,3,3,4,5,Hoka,N11-15nin,0,3,12,26,13,female,20_bf,20dai,Kou_Sotsu,y1-200,y200-400,1,3,PC(Windows),Kanto,12,NotMarried,NoChild,909
5,2,5,5,5,0,5,5,5,2,2,3,5,5,5,2,3,3,3,3,2,2,2,2,3,2,2,2,3,3,,,,Isei,,4,,,,,female,40_af,40dai,Kou_Sotsu,Unknown,Unknown,,,PC(Windows),Kinki,28,Married,Child,910
4,3,3,8,5,0,7,5,3,3,5,7,8,6,3,1,3,2,2,3,1,1,2,2,3,3,3,2,3,2,4,0,1,Isei,N2-3nin,0,4,0,1,2.5,female,40_af,40dai,Sen_Sotsu,y200-400,y600-800,3,7,SMA(iOS_iPhone),Chubu,23,NotMarried,NoChild,911
