SUB_HAP,SUB_SAT,SUB_SLP,DIC_PAR,DIC_FRI,DIC_OTH,ULT_PRO_PAR,ULT_PRO_FRI,ULT_PRO_OTH,ULT_REC_PAR,ULT_REC_FRI,ULT_REC_OTH,TRU_PAR,TRU_FRI,TRU_OTH,SPN_UNM,SPN_THK,SPN_FEA,SPN_LIV,SPN_IMP,KAN_SEC,KAN_THI,KAN_SUP,KAN_PRD,KAN_KYK,DED_SHI,DED_TEN,DED_JIG,DED_KIS,DED_PUN,SEX_IMP,SEX_MAS,SEX_SEX,SEX_OBJ,SEX_NIN,SEX_NNA,SEX_IMP_num,SEX_MAS_nen,SEX_SEX_nen,SEX_NIN_cen,F_SEX,F_GEN_2,F_GEN,F_FGR,F_INK,F_INS,F_INK_cen,F_INS_cen,F_TAN,ARE,PRE,MAR,CHI,ID
5,3,8,10,5,2,10,6,4,4,4,1,10,6,3,1,4,4,4,4,1,1,1,3,3,2,2,2,4,1,5,,4,Isei,N8-10nin,1,5,,12,9,male,30_bf,30dai,Dai_Sotsu,y200-400,y400-600,3,5,PC(Mac),Kinki,29,Married,NoChild,756
9,9,10,5,3,0,5,5,0,10,5,5,5,5,0,2,2,3,2,3,2,2,2,2,3,1,1,1,3,3,1,2,2,Isei,N5-7nin,0,1,2,2,6,female,30_af,30dai,Sen_Sotsu,y1-200,y400-600,1,5,SMA(iOS_iPhone),Kyushu,42,Married,Child,757
9,9,10,4,2,1,5,3,0,5,3,0,5,4,3,2,3,3,4,4,2,1,2,2,3,2,2,2,3,3,5,6,5,Isei,N11-15nin,0,5,52,26,13,female,30_af,30dai,Sen_Sotsu,y1-200,y400-600,1,5,SMA(android),Kinki,27,Married,Child,758
9,9,9,5,5,0,5,5,6,0,0,1,10,10,10,4,3,4,4,4,4,1,3,2,3,3,3,4,4,3,2,5,6,Isei,N4-5nin,0,2,26,52,4.5,male,30_bf,30dai,Dai_Sotsu,y400-600,y400-600,5,5,SMA(android),Kinki,30,Married,NoChild,759
7,7,4,10,10,0,5,5,5,5,5,5,5,5,0,2,3,3,3,4,2,2,2,2,3,2,3,2,4,3,2,0,,Isei,,2,2,0,,,female,30_af,30dai,Sen_Sotsu,y1-200,y200-400,1,3,SMA(android),Chugoku,34,Married,Child,760
9,5,9,0,0,0,5,5,5,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,,Isei,N2-3nin,2,4,,,2.5,female,40_bf,40dai,Kou_Sotsu,y0,y1-200,0,1,PC(Windows),Kyushu,40,Married,Child,761
8,8,8,10,0,0,5,0,0,1,5,5,5,2,1,3,3,4,4,4,1,2,2,2,3,2,2,2,3,2,5,7,1,Isei,N41-100nin,0,5,130,1,70.5,male,40_bf,40dai,Sen_Sotsu,y400-600,y600-800,5,7,SMA(android),Chubu,16,Married,Child,762
7,5,6,10,10,0,10,10,5,1,1,5,10,10,5,1,3,3,3,3,2,2,2,3,3,3,2,2,3,3,5,5,6,Isei,N11-15nin,0,5,26,52,13,female,30_bf,30dai,Sen_Sotsu,y200-400,y200-400,3,3,SMA(iOS_iPhone),Chubu,23,NotMarried,Child,763
10,8,7,5,3,0,5,5,4,3,5,5,5,5,3,2,3,3,2,3,3,1,1,2,3,2,3,3,3,3,4,,,Isei,N4-5nin,2,4,,,4.5,male,40_bf,40dai,Kou_Sotsu,y200-400,y200-400,3,3,SMA(android),Kanto,12,Married,Child,764
7,6,8,6,3,0,6,5,5,3,5,5,5,3,1,4,4,4,4,4,1,1,2,2,4,2,3,2,4,2,2,1,1,Isei,N1nin,0,2,1,1,1,female,60_af,60dai,Dai_Sotsu,y1-200,y600-800,1,7,PC(Windows),Kyushu,47,Married,Child,765
